Here is the medium-term directional bias breakdown for all 31 requested pairs, formatted directly for EA configuration mapping:

EURUSD, Bearish
GBPUSD, Bullish
USDJPY, Bullish
AUDUSD, Neutral
USDCAD, Bullish
NZDUSD, Bearish
USDCHF, Bullish
EURGBP, Bearish
EURJPY, Bullish
EURAUD, Bearish
EURNZD, Neutral
EURCAD, Neutral
EURCHF, Bullish
GBPJPY, Bullish
GBPAUD, Bullish
GBPNZD, Bullish
GBPCAD, Bullish
GBPCHF, Bullish
AUDJPY, Bullish
AUDNZD, Bullish
AUDCAD, Bullish
AUDCHF, Bullish
NZDJPY, Bullish
NZDCAD, Neutral
NZDCHF, Bullish
CADJPY, Bullish
CADCHF, Neutral
CHFJPY, Bullish
EURAUD, Bearish
GBPAUD, Bullish
AUDNZD, Bullish
